model,filename,dataset,vehicle,scenario,accuracy,precision,recall,f1_score,roc_auc,tn,fp,fn,tp
gradientboosting,Replay___Vehicle_A___0x181___IDs_Datafield_Classification_gradientboosting_results.txt,./Datasets with attacks/Replay/Vehicle A/Vehicle A - 0x181 - IDs_Datafield_Classification.csv,Vehicle A,replay,0.9987,0.9838,0.9844,0.9841,0.9986,,,,
randomforest,Replay___Vehicle_B___all_IDs___IDs_Datafield_Classification_randomforest_results.txt,./Datasets with attacks/Replay/Vehicle B/Vehicle B - all IDs - IDs_Datafield_Classification.csv,Vehicle B,replay,0.8981,0.7737,0.6902,0.7295,0.9045,,,,
logisticregression,Replay___Vehicle_B___all_IDs___IDs_Datafield_Classification_logisticregression_results.txt,./Datasets with attacks/Replay/Vehicle B/Vehicle B - all IDs - IDs_Datafield_Classification.csv,Vehicle B,replay,0.593,0.2599,0.5648,0.3559,0.5966,,,,
gradientboosting,"Combined___Vehicle_C___Replay_0x181,_0x161,_0x1a5,_Fuzzing_0x244,_0x284,_0x354___IDs_Datafield_Classification_gradientboosting_results.txt","./Datasets with attacks/Combined/Vehicle C/Vehicle C - Replay 0x181, 0x161, 0x1a5, Fuzzing 0x244, 0x284, 0x354 - IDs_Datafield_Classification.csv",Vehicle C,combined,0.9345,0.9537,0.5855,0.7255,0.9562,,,,
gradientboosting,Combined___Vehicle_B___Replay_0x181___IDs_Datafield_Classification_gradientboosting_results.txt,./Datasets with attacks/Combined/Vehicle B/Vehicle B - Replay 0x181 - IDs_Datafield_Classification.csv,Vehicle B,combined,0.9986,0.9792,0.9863,0.9827,0.9984,,,,
gradientboosting,"Combined___Vehicle_A___Replay_0x181,_0x161,_0x1a5,_Fuzzing_0x244,_0x284,_0x354___IDs_Datafield_Classification_gradientboosting_results.txt","./Datasets with attacks/Combined/Vehicle A/Vehicle A - Replay 0x181, 0x161, 0x1a5, Fuzzing 0x244, 0x284, 0x354 - IDs_Datafield_Classification.csv",Vehicle A,combined,0.9497,0.9652,0.6805,0.7982,0.9687,,,,
randomforest,Fuzzing___Vehicle_B___all_IDs___IDs_Datafield_Classification_randomforest_results.txt,./Datasets with attacks/Fuzzing/Vehicle B/Vehicle B - all IDs - IDs_Datafield_Classification.csv,Vehicle B,fuzzing,1.0,1.0,0.9999,0.9999,1.0,,,,
gradientboosting,Fuzzing___Vehicle_B___all_IDs___IDs_Datafield_Classification_gradientboosting_results.txt,./Datasets with attacks/Fuzzing/Vehicle B/Vehicle B - all IDs - IDs_Datafield_Classification.csv,Vehicle B,fuzzing,0.9992,0.9999,0.9961,0.998,1.0,,,,
gradientboosting,Fuzzing___Vehicle_A___0x181___IDs_Datafield_Classification_gradientboosting_results.txt,./Datasets with attacks/Fuzzing/Vehicle A/Vehicle A - 0x181 - IDs_Datafield_Classification.csv,Vehicle A,fuzzing,1.0,1.0,0.9993,0.9997,1.0,,,,
randomforest,Replay___Vehicle_C___all_IDs___IDs_Datafield_Classification_randomforest_results.txt,./Datasets with attacks/Replay/Vehicle C/Vehicle C - all IDs - IDs_Datafield_Classification.csv,Vehicle C,replay,0.895,0.7636,0.6911,0.7255,0.9015,,,,
logisticregression,"Combined___Vehicle_A___Replay_0x181,_0x161,_0x1a5,_Fuzzing_0x244,_0x284,_0x354___IDs_Datafield_Classification_logisticregression_results.txt","./Datasets with attacks/Combined/Vehicle A/Vehicle A - Replay 0x181, 0x161, 0x1a5, Fuzzing 0x244, 0x284, 0x354 - IDs_Datafield_Classification.csv",Vehicle A,combined,0.661,0.2648,0.7425,0.3903,0.7671,,,,
gradientboosting,Replay___Vehicle_B___all_IDs___IDs_Datafield_Classification_gradientboosting_results.txt,./Datasets with attacks/Replay/Vehicle B/Vehicle B - all IDs - IDs_Datafield_Classification.csv,Vehicle B,replay,0.8686,0.861,0.4053,0.551,0.8766,,,,
randomforest,"Combined___Vehicle_C___Replay_0x181,_0x161,_0x1a5,_Fuzzing_0x244,_0x284,_0x354___IDs_Datafield_Classification_randomforest_results.txt","./Datasets with attacks/Combined/Vehicle C/Vehicle C - Replay 0x181, 0x161, 0x1a5, Fuzzing 0x244, 0x284, 0x354 - IDs_Datafield_Classification.csv",Vehicle C,combined,0.9234,0.7274,0.7709,0.7485,0.9487,,,,
